Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Canine_TestSuite,Firefox 78.0,,,2020-10-06 12:26:59,2020-10-06 12:28:58,1m - 58.361s,FAILED
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC01_Canine_Filter_Breed-Akita,Firefox 78.0,,Filter,2020-10-06 12:27:00,2020-10-06 12:28:06,1m - 6.229s,FAILED
closeBrowser(),Firefox 78.0,,,2020-10-06 12:27:01,2020-10-06 12:27:01,0.377s,PASSED
"openBrowser("""")",Firefox 78.0,,,2020-10-06 12:27:01,2020-10-06 12:27:10,8.896s,PASSED
maximizeWindow(),Firefox 78.0,,,2020-10-06 12:27:10,2020-10-06 12:27:10,0.032s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Firefox 78.0,,,2020-10-06 12:27:10,2020-10-06 12:27:10,0.064s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_Filter_Breed-Akita.xlsx"")",Firefox 78.0,,,2020-10-06 12:27:10,2020-10-06 12:27:23,12.936s,PASSED
"click(findTestObject(""Canine/NavBar/Canine_Cases_Btn""))",Firefox 78.0,,,2020-10-06 12:27:23,2020-10-06 12:27:28,5.449s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Firefox 78.0,,,2020-10-06 12:27:28,2020-10-06 12:27:35,6.232s,PASSED
"click(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""))",Firefox 78.0,,,2020-10-06 12:27:35,2020-10-06 12:28:06,31.349s,FAILED
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC02_Canine_Filter_Breed-AmerStaffd,Firefox 78.0,,Filter,2020-10-06 12:28:06,2020-10-06 12:28:58,51.769s,FAILED
closeBrowser(),Firefox 78.0,,,2020-10-06 12:28:07,2020-10-06 12:28:08,1.001s,PASSED
"openBrowser("""")",Firefox 78.0,,,2020-10-06 12:28:08,2020-10-06 12:28:12,4.642s,PASSED
maximizeWindow(),Firefox 78.0,,,2020-10-06 12:28:12,2020-10-06 12:28:12,0.015s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Firefox 78.0,,,2020-10-06 12:28:12,2020-10-06 12:28:12,0.002s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC02_Canine_Filter_Breed-AmerStaffd.xlsx"")",Firefox 78.0,,,2020-10-06 12:28:12,2020-10-06 12:28:21,9.091s,PASSED
"click(findTestObject(""Canine/NavBar/Canine_Cases_Btn""))",Firefox 78.0,,,2020-10-06 12:28:21,2020-10-06 12:28:27,5.263s,PASSED
"click(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""))",Firefox 78.0,,,2020-10-06 12:28:27,2020-10-06 12:28:58,31.229s,FAILED
