Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bento_TestSuite,Chrome 87.0.4280.88,,,2020-12-30 17:27:02,2020-12-30 17:31:46,4m - 44.028s,FAILED
,,,,,,,
Test Cases/Bento_TestCases/MultipleFilters/TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade,Chrome 87.0.4280.88,,Filter,2020-12-30 17:27:03,2020-12-30 17:29:53,2m - 50.128s,FAILED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-30 17:27:04,2020-12-30 17:27:05,0.657s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-30 17:27:05,2020-12-30 17:27:09,4.363s,PASSED
maximizeWindow(),Chrome 87.0.4280.88,,,2020-12-30 17:27:09,2020-12-30 17:27:10,0.171s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Chrome 87.0.4280.88,,,2020-12-30 17:27:10,2020-12-30 17:27:10,0.058s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC03_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-TumorGrade.xlsx"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:10,2020-12-30 17:27:21,11.689s,PASSED
"click(findTestObject(""Bento/NavBar/Bento_Cases-Btn""))",Chrome 87.0.4280.88,,,2020-12-30 17:27:21,2020-12-30 17:27:27,5.289s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/FilterByCases_Facet""))",Chrome 87.0.4280.88,,,2020-12-30 17:27:27,2020-12-30 17:27:33,5.965s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/DIAGNOSIS_Ddn""))",Chrome 87.0.4280.88,,,2020-12-30 17:27:33,2020-12-30 17:27:38,5.305s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/MedullaryCarcinoma_Chkbx""))",Chrome 87.0.4280.88,,,2020-12-30 17:27:38,2020-12-30 17:27:43,5.271s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/Recurrence Score/RecurrScore_Ddn""))",Chrome 87.0.4280.88,,,2020-12-30 17:27:43,2020-12-30 17:27:48,5.240s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Recurrence Score/16_to_20_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:48,2020-12-30 17:27:49,0.265s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/TumorSize_Ddn"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:49,2020-12-30 17:27:50,1.355s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/2_to_3_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:50,2020-12-30 17:27:51,0.666s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/TumorGrade_Ddn"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:51,2020-12-30 17:27:51,0.435s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/NotReported_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:51,2020-12-30 17:27:52,0.464s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarBento(""Object Repository/Bento/StatBar/Bento_StatBar-Programs"", ""Object Repository/Bento/StatBar/Bento_StatBar-Arms"", ""Object Repository/Bento/StatBar/Bento_StatBar-Cases"", ""Object Repository/Bento/StatBar/Bento_StatBar-Samples"", ""Object Repository/Bento/StatBar/Bento_StatBar-Assays"", ""Object Repository/Bento/StatBar/Bento_StatBar-Files"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:52,2020-12-30 17:27:55,3.625s,PASSED
"waitForElementPresent(findTestObject(""Bento/BentoResults_Cases_Tab""), 5)",Chrome 87.0.4280.88,,,2020-12-30 17:27:55,2020-12-30 17:27:56,0.216s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/BentoResults_Cases_Tab"")",Chrome 87.0.4280.88,,,2020-12-30 17:27:56,2020-12-30 17:27:56,0.505s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(G_StatBar_Cases, ""Object Repository/Bento/Bento_CasesTable"", ""Object Repository/Bento/Bento_CasesTableHeader"", ""Object Repository/Bento/Bento_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 87.0.4280.88,,,2020-12-30 17:27:56,2020-12-30 17:29:53,1m - 56.822s,FAILED
,,,,,,,
Test Cases/Bento_TestCases/MultipleFilters/TC04_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-Chemo-TumorGrade,Chrome 87.0.4280.88,,Filter,2020-12-30 17:29:53,2020-12-30 17:31:46,1m - 53.447s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-30 17:29:54,2020-12-30 17:29:55,0.659s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-30 17:29:55,2020-12-30 17:29:56,1.505s,PASSED
maximizeWindow(),Chrome 87.0.4280.88,,,2020-12-30 17:29:56,2020-12-30 17:29:57,0.215s,PASSED
"ctdc.utilities.runtestcaseforKatalon.testSetup("""")",Chrome 87.0.4280.88,,,2020-12-30 17:29:57,2020-12-30 17:29:57,0.001s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC04_Bento_MultiFilter_Diagnosis-Recurrence-TumorSize-Chemo-TumorGrade.xlsx"")",Chrome 87.0.4280.88,,,2020-12-30 17:29:57,2020-12-30 17:30:06,9.624s,PASSED
"click(findTestObject(""Bento/NavBar/Bento_Cases-Btn""))",Chrome 87.0.4280.88,,,2020-12-30 17:30:06,2020-12-30 17:30:12,5.243s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/FilterByCases_Facet""))",Chrome 87.0.4280.88,,,2020-12-30 17:30:12,2020-12-30 17:30:19,6.995s,PASSED
"click(findTestObject(""Bento/Filter/Diagnosis/DIAGNOSIS_Ddn""))",Chrome 87.0.4280.88,,,2020-12-30 17:30:19,2020-12-30 17:30:24,5.279s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/Diagnosis/MucinousCollCarcinoma_Chkbx""))",Chrome 87.0.4280.88,,,2020-12-30 17:30:24,2020-12-30 17:30:29,5.220s,PASSED
"click(findTestObject(""Object Repository/Bento/Filter/Recurrence Score/RecurrScore_Ddn""))",Chrome 87.0.4280.88,,,2020-12-30 17:30:29,2020-12-30 17:30:34,5.231s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Recurrence Score/51_to_100_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:34,2020-12-30 17:30:34,0.217s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/TumorSize_Ddn"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:34,2020-12-30 17:30:35,0.616s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorSize/Above_4_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:35,2020-12-30 17:30:36,1.138s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Chemotherapy/Chemotherapy_Ddn"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:36,2020-12-30 17:30:37,1.068s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/Chemotherapy/OtherTreatment_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:37,2020-12-30 17:30:38,0.527s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/TumorGrade_Ddn"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:38,2020-12-30 17:30:39,0.873s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Filter/TumorGrade/Intermediate_Chkbx"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:39,2020-12-30 17:30:39,0.559s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarBento(""Object Repository/Bento/StatBar/Bento_StatBar-Programs"", ""Object Repository/Bento/StatBar/Bento_StatBar-Arms"", ""Object Repository/Bento/StatBar/Bento_StatBar-Cases"", ""Object Repository/Bento/StatBar/Bento_StatBar-Samples"", ""Object Repository/Bento/StatBar/Bento_StatBar-Assays"", ""Object Repository/Bento/StatBar/Bento_StatBar-Files"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:39,2020-12-30 17:30:41,1.846s,PASSED
"waitForElementPresent(findTestObject(""Bento/BentoResults_Cases_Tab""), 5)",Chrome 87.0.4280.88,,,2020-12-30 17:30:41,2020-12-30 17:30:41,0.186s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/BentoResults_Cases_Tab"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:41,2020-12-30 17:30:42,0.419s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(G_StatBar_Cases, ""Object Repository/Bento/Bento_CasesTable"", ""Object Repository/Bento/Bento_CasesTableHeader"", ""Object Repository/Bento/Bento_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 87.0.4280.88,,,2020-12-30 17:30:42,2020-12-30 17:30:57,15.166s,PASSED
"waitForElementPresent(findTestObject(""Bento/BentoResults_Samples_Tab""), 5)",Chrome 87.0.4280.88,,,2020-12-30 17:30:57,2020-12-30 17:30:57,0.096s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/BentoResults_Samples_Tab"")",Chrome 87.0.4280.88,,,2020-12-30 17:30:57,2020-12-30 17:30:57,0.239s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(G_StatBar_Samples, ""Object Repository/Bento/Bento_SamplesTable"", ""Object Repository/Bento/Bento_SamplesTableHeader"", ""Object Repository/Bento/Bento_SamplesTabNextBtn"", G_WebTabnameSamples, G_CypherTabnameSamples, G_QuerySamplesTab)",Chrome 87.0.4280.88,,,2020-12-30 17:30:57,2020-12-30 17:31:20,22.899s,PASSED
"waitForElementPresent(findTestObject(""Bento/BentoResults_Files_Tab""), 5)",Chrome 87.0.4280.88,,,2020-12-30 17:31:20,2020-12-30 17:31:20,0.128s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/BentoResults_Files_Tab"")",Chrome 87.0.4280.88,,,2020-12-30 17:31:20,2020-12-30 17:31:20,0.237s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(G_StatBar_Files, ""Object Repository/Bento/Bento_FilesTable"", ""Object Repository/Bento/Bento_FilesTableHeader"", ""Object Repository/Bento/Bento_FilesTabNextBtn"", G_WebTabnameFiles, G_CypherTabnameFiles, G_QueryFilesTab)",Chrome 87.0.4280.88,,,2020-12-30 17:31:20,2020-12-30 17:31:46,25.845s,PASSED
