Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDC_Breed_Regression,Chrome 91.0.4472.164,,,2021-07-22 10:17:15,2021-07-22 11:35:03,1h - 17m - 47.855s,ERROR
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC01_Canine_Filter_Breed-Akita,Chrome 91.0.4472.164,,Filter,2021-07-22 10:17:16,2021-07-22 10:18:14,58.321s,PASSED
Start listener action : getTestScriptName,Chrome 91.0.4472.164,,,2021-07-22 10:17:16,2021-07-22 10:17:16,0.049s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-22 10:17:16,2021-07-22 10:17:17,0.246s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_Filter_Breed-Akita.xlsx"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:17,2021-07-22 10:17:41,23.902s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 91.0.4472.164,,,2021-07-22 10:17:41,2021-07-22 10:17:41,0.114s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:41,2021-07-22 10:17:41,0.131s,PASSED
"waitForElementPresent(findTestObject(""Bento/Cases_page/Filter/FilterByCases_Facet""), 5)",Chrome 91.0.4472.164,,,2021-07-22 10:17:41,2021-07-22 10:17:41,0.667s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/Cases_page/Filter/FilterByCases_Facet"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:41,2021-07-22 10:17:42,0.300s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Chrome 91.0.4472.164,,,2021-07-22 10:17:42,2021-07-22 10:17:42,0.090s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Breed/BREED_Ddn"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:42,2021-07-22 10:17:42,0.258s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Breed/Akita_Chkbx"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:42,2021-07-22 10:17:42,0.352s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarCanine(""Object Repository/Canine/StatBar/Canine_StatBar-Studies"", ""Object Repository/Canine/StatBar/Canine_StatBar-Cases"", ""Object Repository/Canine/StatBar/Canine_StatBar-Samples"", ""Object Repository/Canine/StatBar/Canine_StatBar-Files"", ""Object Repository/Canine/StatBar/Canine_StatBar-Aliquots"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:42,2021-07-22 10:17:58,15.366s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Cases_Tab""), 5)",Chrome 91.0.4472.164,,,2021-07-22 10:17:58,2021-07-22 10:17:58,0.076s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_Cases_Tab"")",Chrome 91.0.4472.164,,,2021-07-22 10:17:58,2021-07-22 10:17:58,0.199s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Cases, ""Object Repository/Canine/Canine_CasesTable"", ""Object Repository/Canine/Canine_TableHeader"", ""Object Repository/Canine/Canine_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 91.0.4472.164,,,2021-07-22 10:17:58,2021-07-22 10:18:14,15.457s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-22 10:18:14,2021-07-22 10:18:14,0.584s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC02_Canine_Filter_Breed-AmerStaffd,Chrome 91.0.4472.164,,Filter,2021-07-22 10:18:14,2021-07-22 10:19:41,1m - 26.594s,PASSED
Start listener action : getTestScriptName,Chrome 91.0.4472.164,,,2021-07-22 10:18:14,2021-07-22 10:18:14,0.003s,PASSED
closeBrowser(),Chrome 91.0.4472.164,,,2021-07-22 10:18:15,2021-07-22 10:18:15,0.005s,PASSED
