Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
COTC022_Study_TestSuite,Chrome 95.0.4638.69,,,2021-11-18 20:34:03,2021-11-18 20:42:35,8m - 32.431s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/StudyCombinations/Study-Combinations-COTC022/TC03_Canine_StudyCOTC022-StudyType_Breed,Chrome 95.0.4638.69,,,2021-11-18 20:34:04,2021-11-18 20:36:11,2m - 7.021s,PASSED
Start listener action : getTestScriptName,Chrome 95.0.4638.69,,,2021-11-18 20:34:04,2021-11-18 20:34:05,0.060s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2021-11-18 20:34:05,2021-11-18 20:34:05,0.278s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC03_Canine_StudyCOTC022-StudyType_Breed.xlsx"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:05,2021-11-18 20:34:23,17.467s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Canine_PopUp_Continue_Btn"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:23,2021-11-18 20:34:23,0.181s,PASSED
"out.println(""Closed the popup window"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:23,2021-11-18 20:34:23,0.000s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 20)",Chrome 95.0.4638.69,,,2021-11-18 20:34:23,2021-11-18 20:34:23,0.150s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:23,2021-11-18 20:34:23,0.136s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/FilterByCases_Facet""), 20)",Chrome 95.0.4638.69,,,2021-11-18 20:34:23,2021-11-18 20:34:24,1.147s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/FilterByCases_Facet"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:24,2021-11-18 20:34:25,0.621s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 30)",Chrome 95.0.4638.69,,,2021-11-18 20:34:25,2021-11-18 20:34:26,0.417s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:26,2021-11-18 20:34:26,0.426s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-COTC022_Chkbx""), 30)",Chrome 95.0.4638.69,,,2021-11-18 20:34:26,2021-11-18 20:34:26,0.318s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-COTC022_Chkbx"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:26,2021-11-18 20:34:28,1.460s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 95.0.4638.69,,,2021-11-18 20:34:28,2021-11-18 20:34:28,0.160s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/StudyType/Canine_Filter_StudyType""), 30)",Chrome 95.0.4638.69,,,2021-11-18 20:34:28,2021-11-18 20:34:28,0.194s,PASSED
