Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDCQuickRun,Chrome 100.0.4896.88,,,2022-04-18 10:37:03,2022-04-18 10:41:14,4m - 11.153s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/Breed/TC01_Canine_Filter_Breed-Akita,Chrome 100.0.4896.88,,Filter,2022-04-18 10:37:05,2022-04-18 10:41:14,4m - 8.869s,PASSED
Start listener action : getTestScriptName,Chrome 100.0.4896.88,,,2022-04-18 10:37:05,2022-04-18 10:37:05,0.074s,PASSED
closeBrowser(),Chrome 100.0.4896.88,,,2022-04-18 10:37:06,2022-04-18 10:37:06,0.331s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Canine_Filter_Breed-Akita.xlsx"")",Chrome 100.0.4896.88,,,2022-04-18 10:37:06,2022-04-18 10:38:56,1m - 49.670s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Canine_PopUp_Continue_Btn"")",Chrome 100.0.4896.88,,,2022-04-18 10:38:56,2022-04-18 10:38:56,0.230s,PASSED
"out.println(""Closed the popup window"")",Chrome 100.0.4896.88,,,2022-04-18 10:38:56,2022-04-18 10:38:56,0.001s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:38:56,2022-04-18 10:38:57,0.177s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 100.0.4896.88,,,2022-04-18 10:38:57,2022-04-18 10:38:57,0.205s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:38:57,2022-04-18 10:38:58,1.240s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/BREED_Ddn"")",Chrome 100.0.4896.88,,,2022-04-18 10:38:58,2022-04-18 10:39:00,1.942s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/Akita_Chkbx"")",Chrome 100.0.4896.88,,,2022-04-18 10:39:00,2022-04-18 10:39:01,1.510s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarCanine(""Object Repository/Canine/StatBar/Canine_StatBar-Programs"", ""Object Repository/Canine/StatBar/Canine_StatBar-Studies"", ""Object Repository/Canine/StatBar/Canine_StatBar-Cases"", ""Object Repository/Canine/StatBar/Canine_StatBar-Samples"", ""Object Repository/Canine/StatBar/Canine_StatBar-CaseFiles"", ""Object Repository/Canine/StatBar/Canine_StatBar-StudyFiles"")",Chrome 100.0.4896.88,,,2022-04-18 10:39:01,2022-04-18 10:39:19,17.920s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Cases_Tab""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:39:19,2022-04-18 10:39:20,0.173s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_Cases_Tab"")",Chrome 100.0.4896.88,,,2022-04-18 10:39:20,2022-04-18 10:39:20,0.507s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Cases, ""Object Repository/Canine/Canine_CasesTable"", ""Object Repository/Canine/Canine_TableHeader"", ""Object Repository/Canine/Canine_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 100.0.4896.88,,,2022-04-18 10:39:20,2022-04-18 10:39:42,21.659s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Samples_Tab""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:39:42,2022-04-18 10:39:42,0.180s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/CanineResults_Samples_Tab"")",Chrome 100.0.4896.88,,,2022-04-18 10:39:42,2022-04-18 10:39:44,1.643s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Samples, ""Object Repository/Canine/Canine_Samples_Table"", ""Object Repository/Canine/Canine_Samples_TableHdr"", ""Object Repository/Canine/Canine_SamplesTabNextBtn"", G_WebTabnameSamples, G_CypherTabnameSamples, G_QuerySamplesTab)",Chrome 100.0.4896.88,,,2022-04-18 10:39:44,2022-04-18 10:40:04,20.124s,PASSED
"waitForElementPresent(findTestObject(""Canine/CanineResults_CaseFiles_Tab""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:40:04,2022-04-18 10:40:04,0.178s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_CaseFiles_Tab"")",Chrome 100.0.4896.88,,,2022-04-18 10:40:04,2022-04-18 10:40:04,0.454s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Files, ""Object Repository/Canine/Canine_Files_Table"", ""Object Repository/Canine/Canine_Files_TableHdr"", ""Object Repository/Canine/Canine_FilesTabNextBtn"", G_WebTabnameFiles, G_CypherTabnameFiles, G_QueryFilesTab)",Chrome 100.0.4896.88,,,2022-04-18 10:40:04,2022-04-18 10:40:52,47.480s,PASSED
"waitForElementPresent(findTestObject(""Canine/CanineResults_StudyFiles_Tab""), 5)",Chrome 100.0.4896.88,,,2022-04-18 10:40:52,2022-04-18 10:40:52,0.323s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_StudyFiles_Tab"")",Chrome 100.0.4896.88,,,2022-04-18 10:40:52,2022-04-18 10:40:53,0.776s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_StudyFiles, ""Object Repository/Canine/Canine_StudyFiles_Table"", ""Object Repository/Canine/Canine_StudyFiles_TableHdr"", ""Object Repository/Canine/Canine_StudyFilesTabNextBtn"", G_WebTabnameStudyFiles, G_CypherTabnameStudyFiles, G_QueryStudyFilesTab)",Chrome 100.0.4896.88,,,2022-04-18 10:40:53,2022-04-18 10:41:13,20.321s,PASSED
closeBrowser(),Chrome 100.0.4896.88,,,2022-04-18 10:41:13,2022-04-18 10:41:14,0.621s,PASSED
