Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bento_Smoke,Chrome 100.0.4896.127,,,2022-04-22 19:15:49,2022-04-22 21:13:59,1h - 58m - 10.391s,PASSED
,,,,,,,
Test Cases/Bento_TestCases/Chemotherapy/TC02_Bento_Filter_Chemo-DoseDenseAC2Taxane,Chrome 100.0.4896.127,,Filter,2022-04-22 19:15:50,2022-04-22 19:18:19,2m - 29.117s,PASSED
Start listener action : getTestScriptName,Chrome 100.0.4896.127,,,2022-04-22 19:15:50,2022-04-22 19:15:50,0.057s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-22 19:15:51,2022-04-22 19:15:51,0.271s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC02_Bento_Filter_Chemo-DoseDenseAC2Taxane.xlsx"")",Chrome 100.0.4896.127,,,2022-04-22 19:15:51,2022-04-22 19:16:12,20.551s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Bento/NavBar/Bento_Cases-Btn""), 5)",Chrome 100.0.4896.127,,,2022-04-22 19:16:12,2022-04-22 19:16:12,0.248s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/NavBar/Bento_Cases-Btn"")",Chrome 100.0.4896.127,,,2022-04-22 19:16:12,2022-04-22 19:16:12,0.147s,PASSED
"waitForElementClickable(findTestObject(""Bento/Cases_page/Filter/Chemotherapy/Chemotherapy_Ddn""), 5)",Chrome 100.0.4896.127,,,2022-04-22 19:16:12,2022-04-22 19:16:13,0.743s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/Cases_page/Filter/Chemotherapy/Chemotherapy_Ddn"")",Chrome 100.0.4896.127,,,2022-04-22 19:16:13,2022-04-22 19:16:13,0.131s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Cases_page/Filter/Chemotherapy/DoseDenseACTaxane_Chkbx"")",Chrome 100.0.4896.127,,,2022-04-22 19:16:13,2022-04-22 19:16:13,0.236s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarBento(""Object Repository/Bento/StatBar/Bento_StatBar-Programs"", ""Object Repository/Bento/StatBar/Bento_StatBar-Arms"", ""Object Repository/Bento/StatBar/Bento_StatBar-Cases"", ""Object Repository/Bento/StatBar/Bento_StatBar-Samples"", ""Object Repository/Bento/StatBar/Bento_StatBar-Assays"", ""Object Repository/Bento/StatBar/Bento_StatBar-Files"")",Chrome 100.0.4896.127,,,2022-04-22 19:16:13,2022-04-22 19:16:22,8.710s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Bento/Cases_page/BentoResults_Cases_Tab""), 5)",Chrome 100.0.4896.127,,,2022-04-22 19:16:22,2022-04-22 19:16:22,0.153s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Cases_page/BentoResults_Cases_Tab"")",Chrome 100.0.4896.127,,,2022-04-22 19:16:22,2022-04-22 19:16:22,0.300s,PASSED
