Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bento_Regression,Chrome 100.0.4896.127,,,2022-04-25 17:28:27,2022-04-26 04:21:00,10h - 52m - 33.249s,ERROR
,,,,,,,
Test Cases/Bento_TestCases/Arm/TC01_Bento_Filter_Arm-A,Chrome 100.0.4896.127,,Filter,2022-04-25 17:28:30,2022-04-25 17:43:50,15m - 19.820s,PASSED
Start listener action : getTestScriptName,Chrome 100.0.4896.127,,,2022-04-25 17:28:30,2022-04-25 17:28:30,0.101s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-25 17:28:31,2022-04-25 17:28:32,0.575s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC01_Bento_Filter_Arm-A.xlsx"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:32,2022-04-25 17:28:54,21.825s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Bento/NavBar/Bento_Cases-Btn""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:28:54,2022-04-25 17:28:54,0.568s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/NavBar/Bento_Cases-Btn"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:54,2022-04-25 17:28:55,0.308s,PASSED
"waitForElementClickable(findTestObject(""Bento/Cases_page/Filter/Arm/ARM_Ddn""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:28:55,2022-04-25 17:28:56,1.240s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/Cases_page/Filter/Arm/ARM_Ddn"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:56,2022-04-25 17:28:56,0.330s,PASSED
"waitForElementClickable(findTestObject(""Bento/Cases_page/Filter/Arm/A_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:28:56,2022-04-25 17:28:57,0.528s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/Cases_page/Filter/Arm/A_Chkbx"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:57,2022-04-25 17:28:57,0.558s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Bento/Cases_page/Filter/Arm/ARM_Ddn"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:57,2022-04-25 17:28:58,1.030s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarBento(""Object Repository/Bento/StatBar/Bento_StatBar-Programs"", ""Object Repository/Bento/StatBar/Bento_StatBar-Arms"", ""Object Repository/Bento/StatBar/Bento_StatBar-Cases"", ""Object Repository/Bento/StatBar/Bento_StatBar-Samples"", ""Object Repository/Bento/StatBar/Bento_StatBar-Assays"", ""Object Repository/Bento/StatBar/Bento_StatBar-Files"")",Chrome 100.0.4896.127,,,2022-04-25 17:28:58,2022-04-25 17:29:07,9.157s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Bento/Cases_page/BentoResults_Cases_Tab""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:29:07,2022-04-25 17:29:08,0.302s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Cases_page/BentoResults_Cases_Tab"")",Chrome 100.0.4896.127,,,2022-04-25 17:29:08,2022-04-25 17:29:08,0.486s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""Bento"", G_StatBar_Cases, ""Object Repository/Bento/Cases_page/Bento_CasesTable"", ""Object Repository/Bento/Cases_page/Bento_CasesTableHeader"", ""Object Repository/Bento/Cases_page/Bento_CasesTabNextBtn"", G_WebTabnameCases, G_CypherTabnameCases, G_QueryCasesTab)",Chrome 100.0.4896.127,,,2022-04-25 17:29:08,2022-04-25 17:34:22,5m - 14.303s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Bento/Cases_page/BentoResults_Samples_Tab""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:34:22,2022-04-25 17:34:23,0.268s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Cases_page/BentoResults_Samples_Tab"")",Chrome 100.0.4896.127,,,2022-04-25 17:34:23,2022-04-25 17:34:23,0.442s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""Bento"", G_StatBar_Cases, ""Object Repository/Bento/Cases_page/Bento_SamplesTable"", ""Object Repository/Bento/Cases_page/Bento_SamplesTableHeader"", ""Object Repository/Bento/Cases_page/Bento_SamplesTabNextBtn"", G_WebTabnameSamples, G_CypherTabnameSamples, G_QuerySamplesTab)",Chrome 100.0.4896.127,,,2022-04-25 17:34:23,2022-04-25 17:39:14,4m - 50.619s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Bento/Cases_page/BentoResults_Files_Tab""), 5)",Chrome 100.0.4896.127,,,2022-04-25 17:39:14,2022-04-25 17:39:14,0.208s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Bento/Cases_page/BentoResults_Files_Tab"")",Chrome 100.0.4896.127,,,2022-04-25 17:39:14,2022-04-25 17:39:14,0.399s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""Bento"", G_StatBar_Files, ""Object Repository/Bento/Cases_page/Bento_FilesTable"", ""Object Repository/Bento/Cases_page/Bento_FilesTableHeader"", ""Object Repository/Bento/Cases_page/Bento_FilesTabNextBtn"", G_WebTabnameFiles, G_CypherTabnameFiles, G_QueryFilesTab)",Chrome 100.0.4896.127,,,2022-04-25 17:39:14,2022-04-25 17:43:49,4m - 34.512s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-25 17:43:49,2022-04-25 17:43:50,0.636s,PASSED
