Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ICDC_QuickOSA,Chrome 100.0.4896.127,,,2022-05-02 14:00:10,2022-05-02 14:02:58,2m - 47.615s,PASSED
,,,,,,,
Test Cases/Canine_TestCases/StudyCombinations/Study-Combinations-OSA01/TC02_Canine_StudyOSA-Breed_Diagnosis,Chrome 100.0.4896.127,"This test case automates the following work flow:
1. Clicking on the Cases Button in Integrated Canine Data Commons (ICDC) application.
2. Clicking the Study dropdown
3. Selecting the desired Study by selecting the checkbox
4. Comparing the results displayed in UI with the results queried from Neo4j database for the seleted dataset.
",Filter,2022-05-02 14:00:13,2022-05-02 14:02:58,2m - 45.138s,PASSED
Start listener action : getTestScriptName,Chrome 100.0.4896.127,,,2022-05-02 14:00:13,2022-05-02 14:00:13,0.069s,PASSED
closeBrowser(),Chrome 100.0.4896.127,"Opens the browser of choice: Chrome, Firefox or Edge",,2022-05-02 14:00:14,2022-05-02 14:00:14,0.424s,PASSED
"""Driver opened by Katalon is used in Selenium from this step.""",Chrome 100.0.4896.127,,,2022-05-02 14:00:14,2022-05-02 14:00:14,0.001s,PASSED
"ctdc.utilities.runtestcaseforKatalon.RunKatalon(""TC02_Canine_StudyOSA-Breed_Diagnosis.xlsx"")",Chrome 100.0.4896.127,"This step takes the Query from input excel and fetches data from Neo4j database. 
Saves the results from neo4j and application in the same name mentioned in the input excel. ",,2022-05-02 14:00:14,2022-05-02 14:00:39,25.313s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 20)",Chrome 100.0.4896.127,"Clicks on the ""Continue"" button in ICDC's homepage.",,2022-05-02 14:00:39,2022-05-02 14:00:40,0.199s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Canine_PopUp_Continue_Btn"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:40,2022-05-02 14:00:40,0.300s,PASSED
"out.println(""Closed the popup window"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:40,2022-05-02 14:00:40,0.001s,PASSED
"waitForElementPresent(findTestObject(""Canine/NavBar/Canine_Cases_Btn""), 20)",Chrome 100.0.4896.127,Clicks on the Explore button in the Navbar of ICDC's homepage.,,2022-05-02 14:00:40,2022-05-02 14:00:40,0.207s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Canine/NavBar/Canine_Cases_Btn"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:40,2022-05-02 14:00:40,0.237s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 30)",Chrome 100.0.4896.127,Clicks on the Filter 'Study' from left pane,,2022-05-02 14:00:40,2022-05-02 14:00:42,1.253s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:42,2022-05-02 14:00:42,0.547s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:42,2022-05-02 14:00:43,0.827s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-OSA01_Chkbx""), 30)",Chrome 100.0.4896.127,Selects the specific check box from 'Study' filter.,,2022-05-02 14:00:43,2022-05-02 14:00:43,0.407s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-OSA01_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:43,2022-05-02 14:00:44,0.314s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Study/Canine_Filter_Study-OSA01_Chkbx"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:44,2022-05-02 14:00:44,0.322s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:44,2022-05-02 14:00:45,0.980s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/BREED_Ddn""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:45,2022-05-02 14:00:45,0.163s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/BREED_Ddn"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:45,2022-05-02 14:00:47,1.854s,PASSED
Thread.sleep(2000),Chrome 100.0.4896.127,,,2022-05-02 14:00:47,2022-05-02 14:00:49,2.007s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/GreatDane_Chkbx""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:49,2022-05-02 14:00:49,0.132s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/GreatDane_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:49,2022-05-02 14:00:49,0.132s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/GreatDane_Chkbx"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:49,2022-05-02 14:00:51,1.912s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/Mixed_Chkbx""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:51,2022-05-02 14:00:51,0.141s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/Mixed_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:51,2022-05-02 14:00:52,0.119s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/Mixed_Chkbx"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:52,2022-05-02 14:00:53,1.354s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/GoldenRetr_Chkbx""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:53,2022-05-02 14:00:53,0.143s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Breed/GoldenRetr_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:53,2022-05-02 14:00:53,0.123s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Breed/GoldenRetr_Chkbx"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:53,2022-05-02 14:00:55,1.767s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Breed/BREED_Ddn"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:55,2022-05-02 14:00:55,0.186s,PASSED
Thread.sleep(2000),Chrome 100.0.4896.127,,,2022-05-02 14:00:55,2022-05-02 14:00:57,2.005s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Diagnosis/DIAGNOSIS_Ddn""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:57,2022-05-02 14:00:57,0.126s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Diagnosis/DIAGNOSIS_Ddn""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:57,2022-05-02 14:00:57,0.119s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Diagnosis/DIAGNOSIS_Ddn"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:57,2022-05-02 14:00:59,1.374s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/Filter/Diagnosis/OsteoSarcoma_Chkbx""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:59,2022-05-02 14:00:59,0.155s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/Filter/Diagnosis/OsteoSarcoma_Chkbx""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:00:59,2022-05-02 14:00:59,0.118s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Canine/Filter/Diagnosis/OsteoSarcoma_Chkbx""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:00:59,2022-05-02 14:00:59,0.302s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTabCanineStat(""Object Repository/Canine/Filter/Diagnosis/OsteoSarcoma_Chkbx"")",Chrome 100.0.4896.127,,,2022-05-02 14:00:59,2022-05-02 14:01:01,1.923s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/Filter/Diagnosis/DIAGNOSIS_Ddn"")",Chrome 100.0.4896.127,,,2022-05-02 14:01:01,2022-05-02 14:01:01,0.181s,PASSED
"ctdc.utilities.runtestcaseforKatalon.readStatBarCanine(""Object Repository/Canine/StatBar/Canine_StatBar-Programs"", ""Object Repository/Canine/StatBar/Canine_StatBar-Studies"", ""Object Repository/Canine/StatBar/Canine_StatBar-Cases"", ""Object Repository/Canine/StatBar/Canine_StatBar-Samples"", ""Object Repository/Canine/StatBar/Canine_StatBar-CaseFiles"", ""Object Repository/Canine/StatBar/Canine_StatBar-StudyFiles"")",Chrome 100.0.4896.127,,,2022-05-02 14:01:01,2022-05-02 14:01:19,17.819s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Samples_Tab""), 30)",Chrome 100.0.4896.127,,,2022-05-02 14:01:19,2022-05-02 14:01:19,0.098s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Canine/CanineResults_Samples_Tab""), 5)",Chrome 100.0.4896.127,,,2022-05-02 14:01:19,2022-05-02 14:01:19,0.104s,PASSED
"ctdc.utilities.runtestcaseforKatalon.clickTab(""Object Repository/Canine/CanineResults_Samples_Tab"")",Chrome 100.0.4896.127,,,2022-05-02 14:01:19,2022-05-02 14:01:20,0.291s,PASSED
"ctdc.utilities.runtestcaseforKatalon.multiFunction(""ICDC"", G_StatBar_Samples, ""Object Repository/Canine/Canine_Samples_Table"", ""Object Repository/Canine/Canine_Samples_TableHdr"", ""Object Repository/Canine/Canine_SamplesTabNextBtn"", G_WebTabnameSamples, G_CypherTabnameSamples, G_QuerySamplesTab)",Chrome 100.0.4896.127,,,2022-05-02 14:01:20,2022-05-02 14:02:58,1m - 38.139s,PASSED
